Store,POG,POGName,POGDescription,Aisle,Side,Sequence
5,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Right,1
11,8386826,D701_L00000_D03_C165_V682_F008_MX,HP 84IN HAIR CARE ACCESSORIES (FM) ALASKA,15,Left,14
13,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),25,Right,1
17,8386826,D701_L00000_D03_C165_V682_F008_MX,HP 84IN HAIR CARE ACCESSORIES (FM) ALASKA,17,Left,2
18,8386811,D701_L00000_D03_C165_V680_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM) ALASKA,36,Left,1
19,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),591 COSMETICS 1,Right,6
21,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Right,4
23,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),29,Right,1
24,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),44,Right,4
25,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),19,Right,12
28,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),15,Left,4
30,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),24,Right,4
31,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),19,Left,1
35,8386819,D701_L00000_D03_C165_V681_F008_MX,HP 72IN HAIR CARE ACCESSORIES (FM),31,Left,5
40,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Left,1
41,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),25,Left,2
49,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),43,Left,1
50,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),35,Right,1
53,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),22,Right,7
60,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),23,Left,1
63,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),39,Right,1
70,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),152 BACK WALL,Right,5
71,8386811,D701_L00000_D03_C165_V680_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM) ALASKA,18,Right,6
75,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),30,Right,6
90,8386824,D701_L00000_D03_C165_V681_F012_MX,HP 72IN HAIR CARE ACCESSORIES (FM),46,Right,1
